id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,7.0,0.745,0.21,1.8,0.068,32.0,61.0,0.9994,3.28,0.62,9.5,7.0
1,7.2,0.6,0.03,2.0,0.076,10.0,31.0,0.99656,3.36,0.52,9.5,5.0
2,8.2,0.4,0.45,2.2,0.075,6.0,15.0,0.99483,3.27,0.65,10.3,6.0
3,6.5,0.6,0.09,1.7,0.069,10.0,31.0,0.9962,3.35,0.54,9.8,6.0
4,7.9,0.53,0.22,1.6,0.075,8.0,28.0,0.99512,3.17,0.56,9.5,5.0
5,7.1,0.715,0.24,2.2,0.073,13.0,49.0,0.998,3.26,0.59,9.6,5.0
6,10.1,0.43,0.42,2.6,0.091,8.0,18.0,0.9982,2.98,0.53,9.2,5.0
7,7.8,0.56,0.27,2.5,0.07,14.0,26.0,0.9966,3.26,0.69,9.3,5.0
8,8.6,0.52,0.1,3.0,0.078,5.0,12.0,0.99656,3.29,0.65,11.4,7.0
9,7.4,0.54,0.0,2.1,0.054,10.0,42.0,0.99396,3.39,0.56,11.0,5.0
10,7.4,0.68,0.09,2.4,0.047,23.0,58.0,0.99494,3.59,0.59,11.5,6.0
11,7.1,0.36,0.46,2.3,0.074,36.0,52.0,0.9976,3.24,0.74,10.8,6.0
12,8.2,0.62,0.08,2.2,0.06,7.0,16.0,0.9964,3.39,0.73,9.4,6.0
13,9.1,0.47,0.48,1.7,0.084,10.0,27.0,0.9968,3.23,0.83,10.3,6.0
14,9.1,0.6,0.34,2.5,0.079,5.0,32.0,0.99448,3.38,0.55,10.0,6.0
15,9.2,0.43,0.22,2.3,0.0969999999999999,30.0,44.0,0.9964,3.3,0.58,9.7,5.0
16,7.8,0.53,0.01,2.4,0.073,6.0,12.0,0.99588,3.11,0.57,10.6,5.0
17,8.5,0.685,0.3,2.1,0.093,12.0,94.0,0.9983,3.36,0.62,9.4,5.0
18,6.7,0.38,0.27,3.0,0.048,15.0,37.0,0.9976,3.36,0.63,11.3,7.0
19,7.2,0.46,0.27,1.8,0.062,16.0,47.0,0.9972,3.35,0.54,9.3,6.0
20,7.1,0.5,0.03,1.7,0.084,21.0,67.0,0.9972,3.44,0.52,9.5,5.0
21,9.8,0.42,0.48,2.3,0.118,10.0,86.0,0.9988,3.12,0.86,9.5,6.0
22,8.1,0.43,0.65,2.1,0.092,17.0,88.0,0.9982,3.19,0.73,9.2,5.0
23,7.4,0.67,0.01,2.1,0.083,16.0,58.0,0.9955,3.44,0.6,9.5,5.0
24,7.7,0.3,0.44,1.7,0.077,17.0,35.0,0.9959,3.07,0.61,11.7,7.0
25,7.2,0.59,0.02,1.9,0.071,5.0,12.0,0.99588,3.26,0.65,9.7,6.0
26,8.3,0.43,0.45,2.4,0.0819999999999999,16.0,28.0,0.9998,3.2,0.64,9.9,5.0
27,7.9,0.55,0.02,1.9,0.076,19.0,55.0,0.99494,3.37,0.57,11.6,6.0
28,7.8,0.4,0.12,2.2,0.077,19.0,94.0,0.9956,3.36,0.59,9.3,5.0
29,6.9,0.54,0.31,2.6,0.076,14.0,28.0,0.9967,3.1,0.76,10.4,6.0
30,7.5,0.84,0.02,2.0,0.086,4.0,14.0,0.99745,3.39,0.67,11.3,7.0
31,9.4,0.41,0.37,2.0,0.062,14.0,31.0,0.9964,3.16,0.52,9.4,5.0
32,9.1,0.31,0.57,2.3,0.071,26.0,54.0,0.9988,3.33,0.6,10.4,6.0
33,7.0,0.52,0.26,2.4,0.074,38.0,94.0,0.9967,3.5,0.6,9.8,5.0
